Geographic Area,City,Median Income
AL,Abanda CDP,11207
AL,Abbeville,25615
AL,Adamsville,42575
AL,Addison town,37083
AL,Akron town,21667
AL,Alabaster,71816
AL,Albertville,32911
AL,Alexander,29874
AL,Alexandria CDP,56058
AL,Aliceville,21131
AL,Allgood town,42009
AL,Altoona town,27566
AL,Andalusia,31968
AL,Anderson town,34792
AL,Anniston,29681
AL,Arab,40292
AL,Ardmore town,35670
AL,Argo town,57212
AL,Ariton town,24286
AL,Arley town,28750
AL,Ashford town,42704
AL,Ashland town,31438
AL,Ashville,40547
AL,Athens,47542
AL,Atmore,26775
AL,Attalla,37191
AL,Auburn,38342
AL,Autaugaville town,24833
AL,Avon town,40417
AL,Axis CDP,55750
AL,Babbie town,41912
AL,Baileyton town,31875
AL,Bakerhill town,31875
AL,Ballplay CDP,37778
AL,Banks town,28750
AL,Bay Minette,31576
AL,Bayou La Batre,34583
AL,Bear Creek town,35563
AL,Beatrice town,18417
AL,Beaverton town,31875
AL,Belgreen CDP,27750
AL,Belk town,28906
AL,Bellamy CDP,22132
AL,Belle Fontaine CDP,34615
AL,Benton town,(X)
AL,Berry town,25865
AL,Bessemer,29615
AL,Billingsley town,41250
AL,Birmingham,31061
AL,Black town,41071
AL,Blountsville town,30152
AL,Blue Ridge CDP,96333
AL,Blue Springs town,45313
AL,Boaz,35974
AL,Boligee town,12173
AL,Bon Air town,23750
AL,Bon Secour CDP,(X)
AL,Boykin CDP,(X)
AL,Brantley town,27870
AL,Brantleyville CDP,40370
AL,Brent,33924
AL,Brewton,31033
AL,Bridgeport,28571
AL,Brighton,22146
AL,Brilliant town,25893
AL,Bristow Cove CDP,(X)
AL,Brook Highland CDP,60212
AL,Brookside town,34554
AL,Brookwood town,51515
AL,Broomtown CDP,28750
AL,Brundidge,23819
AL,Bucks CDP,-
AL,Butler town,28950
AL,Calera,62893
AL,Calvert CDP,-
AL,Camden,28375
AL,Camp Hill town,25118
AL,Carbon Hill,25990
AL,Cardiff town,(X)
AL,Carlisle-Rockledge CDP,35938
AL,Carlton CDP,(X)
AL,Carolina town,50278
AL,Carrollton town,27857
AL,Castleberry town,20677
AL,Catherine CDP,-
AL,Cedar Bluff town,36389
AL,Center Point,39944
AL,Centre,31268
AL,Centreville,41103
AL,Chatom town,35365
AL,Chelsea,85757
AL,Cherokee town,28359
AL,Chickasaw,30973
AL,Childersburg,25948
AL,Choccolocco CDP,54825
AL,Chunchula CDP,(X)
AL,Citronelle,48125
AL,Clanton,39823
AL,Clay,68717
AL,Clayhatchee town,32656
AL,Clayton town,25203
AL,Cleveland town,40909
AL,Clio,19539
AL,Coaling town,54167
AL,Coats Bend CDP,42821
AL,Coffee Springs town,33636
AL,Coffeeville town,19583
AL,Coker town,45795
AL,Collinsville town,25795
AL,Colony town,33063
AL,Columbia town,31806
AL,Columbiana,32700
AL,Concord CDP,44620
AL,Coosada town,47406
AL,Cordova,19139
AL,Cottondale CDP,43875
AL,Cottonwood town,25313
AL,County Line town,55313
AL,Courtland town,33125
AL,Cowarts town,43533
AL,Creola,51705
AL,Crossville town,30833
AL,Cuba town,40673
AL,Cullman,38746
AL,Cullomburg CDP,(X)
AL,Cusseta town,52500
AL,Dadeville,29368
AL,Daleville,45651
AL,Daphne,60737
AL,Dauphin Island town,63594
AL,Daviston town,47639
AL,Dayton town,(X)
AL,Deatsville town,78125
AL,Decatur,41496
AL,Deer Park CDP,(X)
AL,Delta CDP,(X)
AL,Demopolis,27656
AL,Detroit town,24107
AL,Dodge town,41346
AL,Dora,40769
AL,Dothan,42426
AL,Double Springs town,29063
AL,Douglas town,29318
AL,Dozier town,21765
AL,Dunnavant CDP,42857
AL,Dutton town,39688
AL,East Brewton,26736
AL,East Point CDP,62059
AL,Eclectic town,41304
AL,Edgewater CDP,26818
AL,Edwardsville town,38438
AL,Egypt CDP,56693
AL,Elba,26156
AL,Elberta town,31190
AL,Eldridge town,30000
AL,Elkmont town,39583
AL,Elmore town,40150
AL,Emelle town,36250
AL,Emerald Mountain CDP,91054
AL,Enterprise,54450
AL,Epes town,25000
AL,Ethelsville town,40417
AL,Eufaula,32845
AL,Eunola CDP,42023
AL,Eutaw town,22377
AL,Eva town,39868
AL,Evergreen,18661
AL,Excel town,34375
AL,Fairfield,34890
AL,Fairford CDP,32269
AL,Fairhope,61489
AL,Fairview town,37750
AL,Falkville town,33846
AL,Faunsdale town,20625
AL,Fayette,30646
AL,Fayetteville CDP,34632
AL,Fitzpatrick CDP,(X)
AL,Five Points town,45000
AL,Flomaton town,24406
AL,Florala town,25673
AL,Florence,35731
AL,Foley,40938
AL,Forestdale CDP,48654
AL,Forkland town,19063
AL,Fort Deposit town,23963
AL,Fort Payne,38833
AL,Fort Rucker CDP,59265
AL,Franklin town,60417
AL,Fredonia CDP,66591
AL,Frisco town,17311
AL,Fruitdale CDP,63125
AL,Fruithurst town,35625
AL,Fulton town,32083
AL,Fultondale,51587
AL,Fyffe town,42356
AL,Gadsden,29136
AL,Gainesville town,14444
AL,Gallant CDP,45859
AL,Gantt town,47000
AL,Garden town,31591
AL,Gardendale,56132
AL,Gaylesville town,26818
AL,Geiger town,45125
AL,Geneva,29912
AL,Georgiana town,19969
AL,Geraldine town,42292
AL,Gilbertown town,33750
AL,Glen Allen town,24531
AL,Glencoe,46691
AL,Glenwood town,36000
AL,Goldville town,46250
AL,Good Hope town,47754
AL,Goodwater town,23809
AL,Gordo town,30781
AL,Gordon town,22250
AL,Gordonville town,18224
AL,Goshen town,40132
AL,Graham CDP,41914
AL,Grand Bay CDP,48767
AL,Grant town,55000
AL,Grayson Valley CDP,46250
AL,Graysville,41282
AL,Greensboro,21797
AL,Greenville,29741
AL,Grimes town,31579
AL,Grove Hill town,31786
AL,Guin,23000
AL,Gulfcrest CDP,68462
AL,Gulf Shores,47662
AL,Guntersville,39756
AL,Gurley town,32500
AL,Gu-Win town,39000
AL,Hackleburg town,28819
AL,Hackneyville CDP,60474
AL,Haleburg town,54167
AL,Haleyville,24291
AL,Hamilton,33053
AL,Hammondville town,43281
AL,Hanceville,29231
AL,Harpersville town,35972
AL,Hartford,22094
AL,Hartselle,53878
AL,Harvest CDP,63708
AL,Hatton CDP,(X)
AL,Hayden town,50795
AL,Hayneville town,18802
AL,Hazel Green CDP,41938
AL,Headland,51822
AL,Heath town,38333
AL,Heflin,25823
AL,Helena,84615
AL,Henagar,30757
AL,Highland Lake town,51250
AL,Highland Lakes CDP,124291
AL,Hillsboro town,34712
AL,Hissop CDP,25032
AL,Hobson CDP,(X)
AL,Hobson town,25563
AL,Hodges town,29583
AL,Hokes Bluff,46042
AL,Hollins CDP,(X)
AL,Hollis Crossroads CDP,34408
AL,Holly Pond town,44750
AL,Hollywood town,29306
AL,Holt CDP,30446
AL,Holtville CDP,52713
AL,Homewood,61626
AL,Hoover,77146
AL,Horn Hill town,34464
AL,Hueytown,42172
AL,Huguley CDP,42063
AL,Huntsville,48775
AL,Hurtsboro town,19732
AL,Hytop town,38542
AL,Ider town,32692
AL,Indian Springs Village,96346
AL,Irondale,47351
AL,Ivalee CDP,50737
AL,Jackson,31232
AL,Jacksons' Gap town,36719
AL,Jacksonville,38903
AL,Jasper,39695
AL,Jemison,38500
AL,Joppa CDP,23672
AL,Kansas town,38542
AL,Kellyton town,29688
AL,Kennedy town,35054
AL,Killen town,55313
AL,Kimberly,76771
AL,Kinsey town,37109
AL,Kinston town,23571
AL,Ladonia CDP,32713
AL,La Fayette,25666
AL,Lakeview town,46250
AL,Lake View town,88594
AL,Lanett,25220
AL,Langston town,31875
AL,Leeds,52689
AL,Leesburg town,41397
AL,Leighton town,22500
AL,Leroy CDP,47365
AL,Lester town,(X)
AL,Level Plains town,65769
AL,Lexington town,35521
AL,Libertyville town,44286
AL,Lillian CDP,51776
AL,Lincoln,55605
AL,Linden,29722
AL,Lineville,31472
AL,Lipscomb,26163
AL,Lisman town,28750
AL,Littleville town,49107
AL,Livingston,14426
AL,Loachapoka town,34688
AL,Lockhart town,36250
AL,Locust Fork town,57143
AL,Lookout Mountain CDP,51058
AL,Louisville town,34286
AL,Lowndesboro town,39375
AL,Loxley town,48000
AL,Luverne,29844
AL,Lynn town,33452
AL,McDonald Chapel CDP,15588
AL,Macedonia CDP,(X)
AL,McIntosh town,48625
AL,McKenzie town,31500
AL,McMullen town,(X)
AL,Madison,92960
AL,Madrid town,38750
AL,Magnolia Springs town,47614
AL,Malcolm CDP,(X)
AL,Malvern town,37000
AL,Maplesville town,32788
AL,Marbury CDP,37672
AL,Margaret town,64789
AL,Marion,31029
AL,Maytown town,43750
AL,Meadowbrook CDP,92193
AL,Megargel CDP,-
AL,Memphis town,(X)
AL,Mentone town,38750
AL,Meridianville CDP,68368
AL,Midfield,39678
AL,Midland town,27163
AL,Midway town,24514
AL,Mignon CDP,32452
AL,Millbrook,58330
AL,Millerville CDP,24861
AL,Millport town,32443
AL,Millry town,37813
AL,Minor CDP,45000
AL,Mobile,38776
AL,Monroeville,30678
AL,Montevallo,34760
AL,Montgomery,42927
AL,Moody,61049
AL,Moores Mill CDP,63911
AL,Mooresville town,99375
AL,Morris town,70043
AL,Morrison Crossroads CDP,21169
AL,Mosses town,15240
AL,Moulton,28843
AL,Moundville town,39719
AL,Mountain Brook,126534
AL,Mount Olive CDP (Coosa County),(X)
AL,Mount Olive CDP (Jefferson County),73345
AL,Mount Vernon town,40750
AL,Movico CDP,(X)
AL,Mulga town,34886
AL,Munford town,34034
AL,Muscle Shoals,48896
AL,Myrtlewood town,35000
AL,Nanafalia CDP,(X)
AL,Nances Creek CDP,51196
AL,Napier Field town,32000
AL,Natural Bridge town,(X)
