YEAR,LocationAbbr,LocationDesc,TopicType,TopicDesc,DataSource,Data_Value_Type,Data_Value,Gender,Age,GeoLocation,Source_File_USCB,Data_Pulled,LocationID,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,SubMeasureID,DisplayOrder
2015,VA,Virginia,Census,Census - Population,United States Census Bureau,Count,4114534,Male,Total,"(37.542680674, -78.457890463)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,51,CEN,100CEN,100POP,2GEN,8AGE,4,
2010,KY,Kentucky,Census,Census - Population,United States Census Bureau,Count,2208769,Female,Total,"(37.645970271, -84.774971048)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,21,CEN,100CEN,100POP,3GEN,8AGE,7,
2016,AZ,Arizona,Census,Census - Population,United States Census Bureau,Count,5309405,Total,18+,"(34.86597028, -111.763811277)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,4,CEN,100CEN,100POP,1GEN,10AGE,2,
2010,OR,Oregon,Census,Census - Population,United States Census Bureau,Count,1455526,Male,18+,"(44.567449424, -120.155031326)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,41,CEN,100CEN,100POP,2GEN,10AGE,5,
2013,RI,Rhode Island,Census,Census - Population,United States Census Bureau,Count,104888,Female,<18,"(41.708280193, -71.522470314)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,44,CEN,100CEN,100POP,3GEN,11AGE,9,
2014,NH,New Hampshire,Census,Census - Population,United States Census Bureau,Count,131101,Female,<18,"(43.655950113, -71.50036092)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,33,CEN,100CEN,100POP,3GEN,11AGE,9,
2010,HI,Hawaii,Census,Census - Population,United States Census Bureau,Count,156068,Male,<18,"(21.304850435, -157.857749403)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,15,CEN,100CEN,100POP,2GEN,11AGE,6,
2011,NC,North Carolina,Census,Census - Population,United States Census Bureau,Count,3540187,Male,18+,"(35.466220975, -79.159250463)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,37,CEN,100CEN,100POP,2GEN,10AGE,5,
2010,DC,"Washington, DC",Census,Census - Population,United States Census Bureau,Count,269023,Female,18+,"(38.890371385, -77.031961127)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,11,CEN,100CEN,100POP,3GEN,10AGE,8,
2014,OK,Oklahoma,Census,Census - Population,United States Census Bureau,Count,2923465,Total,18+,"(35.472031356, -97.521070214)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,40,CEN,100CEN,100POP,1GEN,10AGE,2,
2017,DC,"Washington, DC",Census,Census - Population,United States Census Bureau,Count,63182,Male,<18,"(38.890371385, -77.031961127)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,11,CEN,100CEN,100POP,2GEN,11AGE,6,
2013,OR,Oregon,Census,Census - Population,United States Census Bureau,Count,419102,Female,<18,"(44.567449424, -120.155031326)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,41,CEN,100CEN,100POP,3GEN,11AGE,9,
2012,MA,Massachusetts,Census,Census - Population,United States Census Bureau,Count,5259654,Total,18+,"(42.27687047, -72.082690675)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,25,CEN,100CEN,100POP,1GEN,10AGE,2,
2013,OK,Oklahoma,Census,Census - Population,United States Census Bureau,Count,2904027,Total,18+,"(35.472031356, -97.521070214)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,40,CEN,100CEN,100POP,1GEN,10AGE,2,
2017,NY,New York,Census,Census - Population,United States Census Bureau,Count,15481553,Total,18+,"(42.827001032, -75.543970427)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,36,CEN,100CEN,100POP,1GEN,10AGE,2,
2011,VA,Virginia,Census,Census - Population,United States Census Bureau,Count,4122596,Female,Total,"(37.542680674, -78.457890463)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,51,CEN,100CEN,100POP,3GEN,8AGE,7,
2014,NC,North Carolina,Census,Census - Population,United States Census Bureau,Count,4836207,Male,Total,"(35.466220975, -79.159250463)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,37,CEN,100CEN,100POP,2GEN,8AGE,4,
2014,SD,South Dakota,Census,Census - Population,United States Census Bureau,Count,209653,Total,<18,"(44.353130053, -100.373530637)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,46,CEN,100CEN,100POP,1GEN,11AGE,3,
2014,NY,New York,Census,Census - Population,United States Census Bureau,Count,10123802,Female,Total,"(42.827001032, -75.543970427)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,36,CEN,100CEN,100POP,3GEN,8AGE,7,
2015,ME,Maine,Census,Census - Population,United States Census Bureau,Count,1072045,Total,18+,"(45.254228894001, -68.985031336)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,23,CEN,100CEN,100POP,1GEN,10AGE,2,
2017,IL,Illinois,Census,Census - Population,United States Census Bureau,Count,6504145,Female,Total,"(40.485010283, -88.997710178)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,17,CEN,100CEN,100POP,3GEN,8AGE,7,
2018,NJ,New Jersey,Census,Census - Population,United States Census Bureau,Count,4352194,Male,Total,"(40.130570048, -74.273691288)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,34,CEN,100CEN,100POP,2GEN,8AGE,4,
2012,WI,Wisconsin,Census,Census - Population,United States Census Bureau,Count,673669,Male,<18,"(44.393191174, -89.816370742)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,55,CEN,100CEN,100POP,2GEN,11AGE,6,
2010,ID,Idaho,Census,Census - Population,United States Census Bureau,Count,1141541,Total,18+,"(43.682630005, -114.363730042)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,16,CEN,100CEN,100POP,1GEN,10AGE,2,
2014,WA,Washington,Census,Census - Population,United States Census Bureau,Count,2749878,Female,18+,"(47.522278629, -120.47001079)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,53,CEN,100CEN,100POP,3GEN,10AGE,8,
2012,CO,Colorado,Census,Census - Population,United States Census Bureau,Count,1236093,Total,<18,"(38.843840757, -106.133610921)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,8,CEN,100CEN,100POP,1GEN,11AGE,3,
2014,AL,Alabama,Census,Census - Population,United States Census Bureau,Count,4842481,Total,Total,"(32.840571122, -86.631860762)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,1,CEN,100CEN,100POP,1GEN,8AGE,1,
2013,AK,Alaska,Census,Census - Population,United States Census Bureau,Count,548767,Total,18+,"(64.845079957001, -147.722059036)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,2,CEN,100CEN,100POP,1GEN,10AGE,2,
2014,HI,Hawaii,Census,Census - Population,United States Census Bureau,Count,158205,Male,<18,"(21.304850435, -157.857749403)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,15,CEN,100CEN,100POP,2GEN,11AGE,6,
2018,MN,Minnesota,Census,Census - Population,United States Census Bureau,Count,5611179,Total,Total,"(46.355648736, -94.794200503)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,27,CEN,100CEN,100POP,1GEN,8AGE,1,
2013,NJ,New Jersey,Census,Census - Population,United States Census Bureau,Count,2011110,Total,<18,"(40.130570048, -74.273691288)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,34,CEN,100CEN,100POP,1GEN,11AGE,3,
2014,CT,Connecticut,Census,Census - Population,United States Census Bureau,Count,1357887,Male,18+,"(41.56266102, -72.649840952)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,9,CEN,100CEN,100POP,2GEN,10AGE,5,
2016,MS,Mississippi,Census,Census - Population,United States Census Bureau,Count,367662,Male,<18,"(32.745510099, -89.538030825)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,28,CEN,100CEN,100POP,2GEN,11AGE,6,
2010,AR,Arkansas,Census,Census - Population,United States Census Bureau,Count,1434720,Male,Total,"(34.748650124, -92.274490743)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,5,CEN,100CEN,100POP,2GEN,8AGE,4,
2016,AR,Arkansas,Census,Census - Population,United States Census Bureau,Count,1521173,Female,Total,"(34.748650124, -92.274490743)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,5,CEN,100CEN,100POP,3GEN,8AGE,7,
2011,GA,Georgia,Census,Census - Population,United States Census Bureau,Count,1268834,Male,<18,"(32.839681093, -83.627580346)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,13,CEN,100CEN,100POP,2GEN,11AGE,6,
2011,AZ,Arizona,Census,Census - Population,United States Census Bureau,Count,3218549,Male,Total,"(34.86597028, -111.763811277)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,4,CEN,100CEN,100POP,2GEN,8AGE,4,
2014,NJ,New Jersey,Census,Census - Population,United States Census Bureau,Count,8866780,Total,Total,"(40.130570048, -74.273691288)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,34,CEN,100CEN,100POP,1GEN,8AGE,1,
2017,MT,Montana,Census,Census - Population,United States Census Bureau,Count,111698,Female,<18,"(47.066528972, -109.424420645)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,30,CEN,100CEN,100POP,3GEN,11AGE,9,
2015,DC,"Washington, DC",Census,Census - Population,United States Census Bureau,Count,296118,Female,18+,"(38.890371385, -77.031961127)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,11,CEN,100CEN,100POP,3GEN,10AGE,8,
2016,OK,Oklahoma,Census,Census - Population,United States Census Bureau,Count,1453547,Male,18+,"(35.472031356, -97.521070214)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,40,CEN,100CEN,100POP,2GEN,10AGE,5,
2013,WA,Washington,Census,Census - Population,United States Census Bureau,Count,2711685,Female,18+,"(47.522278629, -120.47001079)","PEP_2018_PEPAGESEX, Factfinder2.census.gov",06/24/2019 12:00:00 AM,53,CEN,100CEN,100POP,3GEN,10AGE,8,
