State,Unemployment rate
Alabama,13.3
Alaska,13.7
Arizona,12.9
Arkansas,10.3
California,16.1
Colorado,12.0
Connecticut,8.0
Delaware,14.8
District of Columbia,11.1
Florida,13.3
Georgia,12.2
Hawaii,23.5
Idaho,11.8
Illinois,16.9
Indiana,17.1
Iowa,10.7
Kansas,11.6
Kentucky,16.1
Louisiana,14.5
Maine,11.3
Maryland,10.1
Massachusetts,15.9
Michigan,23.8
Minnesota,8.6
Mississippi,15.6
Missouri,9.8
Montana,11.9
Nebraska,8.6
Nevada,29.8
New Hampshire,17.2
New Jersey,15.9
New Mexico,11.4
New York,15.0
North Carolina,12.5
North Dakota,9.2
Ohio,17.4
Oklahoma,14.3
Oregon,14.8
Pennsylvania,15.5
Puerto Rico,-
Rhode Island,17.8
South Carolina,12.2
South Dakota,11.0
Tennessee,15.0
Texas,13.0
Utah,10.3
Vermont,16.8
Virginia,10.8
Washington,15.8
West Virginia,15.8
Wisconsin,14.6
Wyoming,9.6
